codigo;nombre;presentacion;Cantidad;Precio de Venta
BAV 001;CERVEZA;AGUILA 330*30 BOT;0;63500
BAV 002;CERVEZA;AGUILA LIGHT 330*30 BOT;0;63500
BAV 003;CERVEZA;POKER 330*30 BOT;0;63500
BAV 004;CERVEZA;COSTEÑA NEGRA 330*30 BOT;0;45000
BAV 005;CERVEZA;COSTEÑA BACANA 330*30 BOT;0;50700
BAV 006;CERVEZA;CLUB DORADA 330*30 BOT;0;75000
BAV 007;CERVEZA;CLUB ROJA 330*30 BOT;0;74000
BAV 008;CERVEZA;CLUB NEGRA 330*30 BOT;0;0
BAV 009;CERVEZA;CORONITA BOT 210ML*30;0;71200
BAV 010;CERVEZA;CORONA 330*24 BOT;0;0
BAV 011;CERVEZA LATA;AGUILA LATA 330*24;0;59900
BAV 012;CERVEZA LATA;AGUILA LIGHT LATA 355*24;0;0
BAV 013;CERVEZA LATA;POKER LATA 330*24;0;59900
BAV 014;CERVEZA LATA;COSTEÑA NEGRA LATA 330*24;0;0
BAV 015;CERVEZA LATA;COSTEÑA BACANA LATA 330*24;0;0
BAV 016;CERVEZA LATA;CORONITA LATA 269ML*24;0;0
BAV 017;CERVEZA LATA;CERVEZA REDS LATA;0;55000
BAV 018;CERVEZA LATA;BUDWEISER LATA 269ML*24;0;47000
BAV 019;CERVEZA;BUDWEISER 250*24 BOT;0;48000
BAV 020;CERVEZA;CERVEZA MICHELOB ULTRA;0;65000
BAV 021;CERVEZA LATA;CERVEZA BECKS LATA 330*24;0;44000
BAV 022;CERVEZA;AGUILON 750ML *16;0;64000
BAV 023;CERVEZA;POKERON LITRO *13;0;59900
BAV 024;GASEOSA;PONY MALTA 330*30 BOT;0;60500
BAV 025;GASEOSA;PONY MALTA 330*24 PET;0;52000
BAV 026;GASEOSA;PONY MALTA MINI PET *30;0;41500
BAV 027;GASEOSA;PONY MALTA LITRO *15 PET;0;52000
BAV 028;GASEOSA;PONY MALTA 1.5L*6 PET;0;29900
BAV 029;CERVEZA;COLA Y POLA 330*30 BOT;0;52000
BAV 030;CERVEZA LATA;COLA Y POLA LATA 330*24;0;51000
